Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Raynier Ramirez","LAD","DSL",19,47,150,191,30,17,4,2,7,28,32,33,0,54,7,1,0,5,9,1,0.2,"sa3021650"
"Williams Wong","TEX","DSL",18,45,147,190,29,19,9,0,1,27,23,35,0,27,3,3,2,3,2,2,0.197278911,"sa3021830"
"Abel Lorenzo","LAD","DSL",18,54,177,231,35,26,5,2,2,34,26,39,0,48,11,4,0,3,28,9,0.197740112,"sa3021831"
"Rainer Reyes","NYM","DSL",21,48,151,188,38,24,8,0,6,28,30,24,0,42,10,3,0,1,6,2,0.251655629,"sa3021832"
"Jjam Alvarez","COL","DSL",18,55,186,218,55,45,8,1,1,26,20,22,0,33,6,2,2,0,7,2,0.295698924,"sa3021835"
"Kelvin Alcantara","SEA","CPX",18,48,164,194,47,34,6,3,4,29,40,25,0,45,2,3,0,4,2,0,0.286585365,"sa3021837"
"Jhorvic Abreus","CLE","DSL",18,47,155,187,39,28,8,2,1,24,23,25,0,32,3,4,0,3,9,7,0.251612903,"sa3021838"
"Samil Dishmey","LAA","DSL",18,47,138,169,34,27,5,2,0,28,16,30,0,26,1,0,0,4,10,3,0.246376811,"sa3021841"
"Franklin Arias","BOS","A,CPX",18,87,314,372,97,61,25,2,9,59,54,50,0,65,5,3,0,5,35,6,0.308917197,"sa3021845"
"Francisco Caldera","HOU","DSL",18,49,127,151,29,23,4,0,2,13,23,16,1,26,6,2,0,1,9,1,0.228346456,"sa3021853"
"Javier Mogollon","CHW","CPX",18,46,143,180,37,15,14,0,8,31,29,33,0,69,3,1,0,1,16,0,0.258741258,"sa3021855"
"Adrian Gil","CHW","CPX",18,56,169,217,38,22,8,4,4,40,30,37,0,58,10,1,0,1,10,4,0.224852071,"sa3021856"
"Brian Sanchez","NYY","CPX",19,49,173,198,53,29,16,4,4,40,32,23,0,41,2,0,0,5,16,3,0.306358381,"sa3021860"
"Alfredo Alcantara","CIN","CPX",18,51,169,205,32,23,4,0,5,25,19,29,1,74,5,2,0,4,4,2,0.189349112,"sa3022184"
"Jose Gonzalez","LAD","DSL",19,41,109,149,29,19,5,3,2,27,19,34,1,27,5,1,0,1,8,5,0.266055045,"sa3022196"
"Dariel Ramon","TOR","DSL",18,52,146,193,34,28,5,1,0,32,27,34,2,27,10,3,0,3,11,2,0.232876712,"sa3022236"
"Alexey Lumpuy","CHC","DSL",20,45,148,185,38,17,5,12,4,40,19,26,0,42,9,1,1,0,20,8,0.256756756,"sa3022296"
"Carson McCusker","MIN","AA,AAA",26,122,461,518,130,77,30,4,19,69,75,45,0,150,8,4,0,8,7,7,0.281995661,"sa3022304"
"Cristian Perez","DET","DSL",17,52,165,204,46,37,5,1,3,33,36,32,0,52,4,3,0,4,7,1,0.278787878,"sa3022320"
"Wilder Dalis","COL","DSL",17,56,202,256,66,49,12,2,3,44,49,42,0,34,5,5,2,2,21,7,0.326732673,"sa3022347"
"Enyervert Perez","ARI","DSL",18,54,188,223,55,31,17,1,6,30,26,23,0,53,11,1,0,2,4,3,0.292553191,"sa3022379"
"Hector Liriano","WSN","DSL",18,52,167,199,41,29,8,1,3,24,18,25,2,59,4,3,0,0,7,2,0.245508982,"sa3022405"
"Edwardo Espinal","LAA","CPX",18,52,157,206,34,23,9,1,1,40,20,43,0,58,2,2,2,0,9,3,0.216560509,"sa3022414"
"Chase Davis","STL","A,A+,AA",22,112,408,475,103,61,29,1,12,56,70,56,3,113,7,4,0,3,9,2,0.25245098,"sa3022426"
"Jake DeLeo","MIA","A,A+",23,98,359,399,80,58,17,2,3,45,34,35,0,114,3,1,1,3,16,4,0.222841225,"sa3022427"
